activity_id,wbs_path,description,discipline,level,planned_start,planned_finish,planned_qty,uom,tags,predecessors
OIL-A2-PIP-L6-0113,OIL Project > Crude Gathering Station > North Bay > Piping,"Erect Line 12""-FG-1113 Spools (North Bay)",Piping,L6,2026-04-04,2026-04-14,20.0,m,"line:12""-FG-1113",OIL-A2-PIP-L6-0112
OIL-A2-PIP-L6-0114,OIL Project > Crude Gathering Station > South Bay > Piping,"Erect Line 16""-HC-1114 Spools (South Bay)",Piping,L6,2026-04-17,2026-05-05,40.0,m,"line:16""-HC-1114",OIL-A2-PIP-L6-0113
OIL-A2-PIP-L6-0115,OIL Project > Crude Gathering Station > Sec-1 > Piping,"Fabricate Spools for Line 6""-FG-1115 (Sec-1)",Piping,L5,2026-07-20,2026-08-02,80.0,m,"line:6""-FG-1115",OIL-A2-PIP-L6-0114
OIL-A2-PIP-L6-0116,OIL Project > Crude Gathering Station > Sec-2 > Piping,"Fabricate Spools for Line 12""-PG-1116 (Sec-2)",Piping,L6,2026-05-02,2026-05-18,20.0,m,"line:12""-PG-1116",OIL-A2-PIP-L6-0115
OIL-A2-PIP-L6-0117,OIL Project > Crude Gathering Station > Sec-3 > Piping,"Fabricate Spools for Line 6""-HC-1117 (Sec-3)",Piping,L6,2026-05-25,2026-05-31,20.0,m,"line:6""-HC-1117",OIL-A2-PIP-L6-0116
OIL-A2-PIP-L6-0118,OIL Project > Crude Gathering Station > Sec-4 > Piping,"Fabricate Spools for Line 12""-PG-1118 (Sec-4)",Piping,L5,2026-06-30,2026-07-17,40.0,m,"line:12""-PG-1118",OIL-A2-PIP-L6-0117
OIL-A2-PIP-L6-0119,OIL Project > Crude Gathering Station > North Bay > Piping,"Fabricate Spools for Line 8""-CW-1119 (North Bay)",Piping,L6,2026-07-05,2026-07-11,60.0,m,"line:8""-CW-1119",OIL-A2-PIP-L6-0118
OIL-A2-PIP-L6-0120,OIL Project > Crude Gathering Station > South Bay > Piping,"Fabricate Spools for Line 12""-FG-1120 (South Bay)",Piping,L6,2026-07-04,2026-07-15,40.0,m,"line:12""-FG-1120",OIL-A2-PIP-L6-0119
OIL-A2-PIP-L6-0121,OIL Project > Crude Gathering Station > Sec-1 > Piping,"Weld Joints Line 16""-CW-1121 (Sec-1)",Piping,L5,2026-05-07,2026-05-16,60.0,m,"line:16""-CW-1121",OIL-A2-PIP-L6-0120
OIL-A2-PIP-L6-0122,OIL Project > Crude Gathering Station > Sec-2 > Piping,"Weld Joints Line 6""-HC-1122 (Sec-2)",Piping,L6,2026-04-30,2026-05-06,80.0,m,"line:6""-HC-1122",OIL-A2-PIP-L6-0121
OIL-A2-PIP-L6-0123,OIL Project > Crude Gathering Station > Sec-3 > Piping,"Weld Joints Line 6""-PG-1123 (Sec-3)",Piping,L6,2026-05-18,2026-05-22,60.0,m,"line:6""-PG-1123",OIL-A2-PIP-L6-0122
OIL-A2-PIP-L6-0124,OIL Project > Crude Gathering Station > Sec-4 > Piping,"Weld Joints Line 8""-PG-1124 (Sec-4)",Piping,L5,2026-04-25,2026-04-30,60.0,m,"line:8""-PG-1124",OIL-A2-PIP-L6-0123
OIL-A2-PIP-L6-0125,OIL Project > Crude Gathering Station > North Bay > Piping,"Weld Joints Line 24""-CW-1125 (North Bay)",Piping,L6,2026-04-14,2026-04-28,40.0,m,"line:24""-CW-1125",OIL-A2-PIP-L6-0124
OIL-A2-PIP-L6-0126,OIL Project > Crude Gathering Station > South Bay > Piping,"Weld Joints Line 6""-FG-1126 (South Bay)",Piping,L6,2026-05-03,2026-05-07,120.0,m,"line:6""-FG-1126",OIL-A2-PIP-L6-0125
OIL-A2-PIP-L6-0127,OIL Project > Crude Gathering Station > Sec-1 > Piping,"Hydrotest Line 8""-PG-1127 (Sec-1)",Piping,L5,2026-06-19,2026-07-01,20.0,m,"line:8""-PG-1127",OIL-A2-PIP-L6-0126
OIL-A2-PIP-L6-0128,OIL Project > Crude Gathering Station > Sec-2 > Piping,"Hydrotest Line 8""-PG-1128 (Sec-2)",Piping,L6,2026-05-23,2026-05-29,80.0,m,"line:8""-PG-1128",OIL-A2-PIP-L6-0127
OIL-A2-PIP-L6-0129,OIL Project > Crude Gathering Station > Sec-3 > Piping,"Hydrotest Line 24""-CW-1129 (Sec-3)",Piping,L6,2026-06-29,2026-07-10,80.0,m,"line:24""-CW-1129",OIL-A2-PIP-L6-0128
OIL-A2-PIP-L6-0130,OIL Project > Crude Gathering Station > Sec-4 > Piping,"Hydrotest Line 12""-FG-1130 (Sec-4)",Piping,L5,2026-05-16,2026-06-01,80.0,m,"line:12""-FG-1130",OIL-A2-PIP-L6-0129
OIL-A2-PIP-L6-0131,OIL Project > Crude Gathering Station > North Bay > Piping,"Hydrotest Line 6""-FG-1131 (North Bay)",Piping,L6,2026-04-01,2026-04-17,40.0,m,"line:6""-FG-1131",OIL-A2-PIP-L6-0130
OIL-A2-PIP-L6-0132,OIL Project > Crude Gathering Station > South Bay > Piping,"Hydrotest Line 16""-PG-1132 (South Bay)",Piping,L6,2026-05-29,2026-06-06,40.0,m,"line:16""-PG-1132",OIL-A2-PIP-L6-0131
OIL-A2-CIV-L6-0133,OIL Project > Crude Gathering Station > Sec-1 > Civil,Pour Foundation FDN-C-0333 (Sec-1),Civil,L5,2026-06-13,2026-06-27,120.0,m3,foundation:FDN-C-0333|equipment:C-0333,
OIL-A2-CIV-L6-0134,OIL Project > Crude Gathering Station > Sec-2 > Civil,Pour Foundation FDN-C-0334 (Sec-2),Civil,L6,2026-04-22,2026-04-27,20.0,m3,foundation:FDN-C-0334|equipment:C-0334,OIL-A2-CIV-L6-0133
OIL-A2-CIV-L6-0135,OIL Project > Crude Gathering Station > Sec-3 > Civil,Pour Foundation FDN-C-0335 (Sec-3),Civil,L6,2026-06-01,2026-06-14,20.0,m3,foundation:FDN-C-0335|equipment:C-0335,OIL-A2-CIV-L6-0134
OIL-A2-CIV-L6-0136,OIL Project > Crude Gathering Station > Sec-4 > Civil,Pour Foundation FDN-C-0336 (Sec-4),Civil,L5,2026-06-21,2026-07-01,120.0,m3,foundation:FDN-C-0336|equipment:C-0336,OIL-A2-CIV-L6-0135
OIL-A2-CIV-L6-0137,OIL Project > Crude Gathering Station > North Bay > Civil,Pour Foundation FDN-C-0337 (North Bay),Civil,L6,2026-04-06,2026-04-21,120.0,m3,foundation:FDN-C-0337|equipment:C-0337,OIL-A2-CIV-L6-0136
OIL-A2-CIV-L6-0138,OIL Project > Crude Gathering Station > South Bay > Civil,Pour Foundation FDN-C-0338 (South Bay),Civil,L6,2026-07-02,2026-07-11,20.0,m3,foundation:FDN-C-0338|equipment:C-0338,OIL-A2-CIV-L6-0137
OIL-A2-CIV-L6-0139,OIL Project > Crude Gathering Station > Sec-1 > Civil,Excavate for Foundation FDN-C-0339 (Sec-1),Civil,L5,2026-05-29,2026-06-10,80.0,m3,foundation:FDN-C-0339|equipment:C-0339,OIL-A2-CIV-L6-0138
OIL-A2-CIV-L6-0140,OIL Project > Crude Gathering Station > Sec-2 > Civil,Excavate for Foundation FDN-C-0340 (Sec-2),Civil,L6,2026-06-04,2026-06-21,40.0,m3,foundation:FDN-C-0340|equipment:C-0340,OIL-A2-CIV-L6-0139
OIL-A2-CIV-L6-0141,OIL Project > Crude Gathering Station > Sec-3 > Civil,Excavate for Foundation FDN-C-0341 (Sec-3),Civil,L6,2026-05-28,2026-06-14,40.0,m3,foundation:FDN-C-0341|equipment:C-0341,OIL-A2-CIV-L6-0140
OIL-A2-CIV-L6-0142,OIL Project > Crude Gathering Station > Sec-4 > Civil,Excavate for Foundation FDN-C-0342 (Sec-4),Civil,L5,2026-05-26,2026-06-09,20.0,m3,foundation:FDN-C-0342|equipment:C-0342,OIL-A2-CIV-L6-0141
OIL-A2-CIV-L6-0143,OIL Project > Crude Gathering Station > North Bay > Civil,Excavate for Foundation FDN-C-0343 (North Bay),Civil,L6,2026-07-03,2026-07-16,120.0,m3,foundation:FDN-C-0343|equipment:C-0343,OIL-A2-CIV-L6-0142
OIL-A2-CIV-L6-0144,OIL Project > Crude Gathering Station > South Bay > Civil,Excavate for Foundation FDN-C-0344 (South Bay),Civil,L6,2026-07-19,2026-07-24,120.0,m3,foundation:FDN-C-0344|equipment:C-0344,OIL-A2-CIV-L6-0143
OIL-A2-CIV-L6-0145,OIL Project > Crude Gathering Station > Sec-1 > Civil,Rebar Fixing Foundation FDN-C-0345 (Sec-1),Civil,L5,2026-06-27,2026-07-07,20.0,m3,foundation:FDN-C-0345|equipment:C-0345,OIL-A2-CIV-L6-0144
OIL-A2-CIV-L6-0146,OIL Project > Crude Gathering Station > Sec-2 > Civil,Rebar Fixing Foundation FDN-C-0346 (Sec-2),Civil,L6,2026-07-14,2026-07-31,40.0,m3,foundation:FDN-C-0346|equipment:C-0346,OIL-A2-CIV-L6-0145
OIL-A2-CIV-L6-0147,OIL Project > Crude Gathering Station > Sec-3 > Civil,Rebar Fixing Foundation FDN-C-0347 (Sec-3),Civil,L6,2026-06-04,2026-06-14,60.0,m3,foundation:FDN-C-0347|equipment:C-0347,OIL-A2-CIV-L6-0146
OIL-A2-CIV-L6-0148,OIL Project > Crude Gathering Station > Sec-4 > Civil,Rebar Fixing Foundation FDN-C-0348 (Sec-4),Civil,L5,2026-06-21,2026-07-02,60.0,m3,foundation:FDN-C-0348|equipment:C-0348,OIL-A2-CIV-L6-0147
OIL-A2-CIV-L6-0149,OIL Project > Crude Gathering Station > North Bay > Civil,Rebar Fixing Foundation FDN-C-0349 (North Bay),Civil,L6,2026-06-21,2026-07-05,80.0,m3,foundation:FDN-C-0349|equipment:C-0349,OIL-A2-CIV-L6-0148
OIL-A2-CIV-L6-0150,OIL Project > Crude Gathering Station > South Bay > Civil,Rebar Fixing Foundation FDN-C-0350 (South Bay),Civil,L6,2026-05-04,2026-05-19,60.0,m3,foundation:FDN-C-0350|equipment:C-0350,OIL-A2-CIV-L6-0149
OIL-A2-CIV-L6-0151,OIL Project > Crude Gathering Station > Sec-1 > Civil,Backfill Around FDN-C-0351 (Sec-1),Civil,L5,2026-04-30,2026-05-08,120.0,m3,foundation:FDN-C-0351|equipment:C-0351,OIL-A2-CIV-L6-0150
OIL-A2-CIV-L6-0152,OIL Project > Crude Gathering Station > Sec-2 > Civil,Backfill Around FDN-C-0352 (Sec-2),Civil,L6,2026-06-24,2026-07-07,20.0,m3,foundation:FDN-C-0352|equipment:C-0352,OIL-A2-CIV-L6-0151
OIL-A2-CIV-L6-0153,OIL Project > Crude Gathering Station > Sec-3 > Civil,Backfill Around FDN-C-0353 (Sec-3),Civil,L6,2026-05-24,2026-06-07,20.0,m3,foundation:FDN-C-0353|equipment:C-0353,OIL-A2-CIV-L6-0152
OIL-A2-CIV-L6-0154,OIL Project > Crude Gathering Station > Sec-4 > Civil,Backfill Around FDN-C-0354 (Sec-4),Civil,L5,2026-04-07,2026-04-10,120.0,m3,foundation:FDN-C-0354|equipment:C-0354,OIL-A2-CIV-L6-0153
OIL-A2-CIV-L6-0155,OIL Project > Crude Gathering Station > North Bay > Civil,Backfill Around FDN-C-0355 (North Bay),Civil,L6,2026-04-29,2026-05-15,120.0,m3,foundation:FDN-C-0355|equipment:C-0355,OIL-A2-CIV-L6-0154
OIL-A2-CIV-L6-0156,OIL Project > Crude Gathering Station > South Bay > Civil,Backfill Around FDN-C-0356 (South Bay),Civil,L6,2026-04-21,2026-04-28,20.0,m3,foundation:FDN-C-0356|equipment:C-0356,OIL-A2-CIV-L6-0155
OIL-A2-ELE-L6-0157,OIL Project > Crude Gathering Station > Sec-1 > Electrical,Lay Cable CBL-EL-0557 (Sec-1),Electrical,L5,2026-06-25,2026-07-06,80.0,m,cable:CBL-EL-0557,
OIL-A2-ELE-L6-0158,OIL Project > Crude Gathering Station > Sec-2 > Electrical,Lay Cable CBL-EL-0558 (Sec-2),Electrical,L6,2026-06-16,2026-07-03,120.0,m,cable:CBL-EL-0558,OIL-A2-ELE-L6-0157
OIL-A2-ELE-L6-0159,OIL Project > Crude Gathering Station > Sec-3 > Electrical,Lay Cable CBL-EL-0559 (Sec-3),Electrical,L6,2026-04-08,2026-04-11,80.0,m,cable:CBL-EL-0559,OIL-A2-ELE-L6-0158
OIL-A2-ELE-L6-0160,OIL Project > Crude Gathering Station > Sec-4 > Electrical,Lay Cable CBL-EL-0560 (Sec-4),Electrical,L5,2026-06-18,2026-06-27,40.0,m,cable:CBL-EL-0560,OIL-A2-ELE-L6-0159
OIL-A2-ELE-L6-0161,OIL Project > Crude Gathering Station > North Bay > Electrical,Lay Cable CBL-EL-0561 (North Bay),Electrical,L6,2026-07-14,2026-07-22,120.0,m,cable:CBL-EL-0561,OIL-A2-ELE-L6-0160
OIL-A2-ELE-L6-0162,OIL Project > Crude Gathering Station > South Bay > Electrical,Lay Cable CBL-EL-0562 (South Bay),Electrical,L6,2026-07-01,2026-07-04,80.0,m,cable:CBL-EL-0562,OIL-A2-ELE-L6-0161
OIL-A2-ELE-L6-0163,OIL Project > Crude Gathering Station > Sec-1 > Electrical,Terminate Cable CBL-EL-0563 (Sec-1),Electrical,L5,2026-04-29,2026-05-05,60.0,m,cable:CBL-EL-0563,OIL-A2-ELE-L6-0162
OIL-A2-ELE-L6-0164,OIL Project > Crude Gathering Station > Sec-2 > Electrical,Terminate Cable CBL-EL-0564 (Sec-2),Electrical,L6,2026-05-05,2026-05-21,120.0,m,cable:CBL-EL-0564,OIL-A2-ELE-L6-0163
OIL-A2-ELE-L6-0165,OIL Project > Crude Gathering Station > Sec-3 > Electrical,Terminate Cable CBL-EL-0565 (Sec-3),Electrical,L6,2026-04-22,2026-05-03,40.0,m,cable:CBL-EL-0565,OIL-A2-ELE-L6-0164
OIL-A2-ELE-L6-0166,OIL Project > Crude Gathering Station > Sec-4 > Electrical,Terminate Cable CBL-EL-0566 (Sec-4),Electrical,L5,2026-06-16,2026-06-26,80.0,m,cable:CBL-EL-0566,OIL-A2-ELE-L6-0165
OIL-A2-ELE-L6-0167,OIL Project > Crude Gathering Station > North Bay > Electrical,Terminate Cable CBL-EL-0567 (North Bay),Electrical,L6,2026-05-26,2026-06-05,120.0,m,cable:CBL-EL-0567,OIL-A2-ELE-L6-0166
OIL-A2-ELE-L6-0168,OIL Project > Crude Gathering Station > South Bay > Electrical,Terminate Cable CBL-EL-0568 (South Bay),Electrical,L6,2026-06-12,2026-06-20,40.0,m,cable:CBL-EL-0568,OIL-A2-ELE-L6-0167
OIL-A2-ELE-L6-0169,OIL Project > Crude Gathering Station > Sec-1 > Electrical,Install Cable Tray (Sec-1),Electrical,L5,2026-05-15,2026-05-22,20.0,m,,OIL-A2-ELE-L6-0168
OIL-A2-ELE-L6-0170,OIL Project > Crude Gathering Station > Sec-2 > Electrical,Install Cable Tray (Sec-2),Electrical,L6,2026-07-04,2026-07-08,20.0,m,,OIL-A2-ELE-L6-0169
OIL-A2-ELE-L6-0171,OIL Project > Crude Gathering Station > Sec-3 > Electrical,Install Cable Tray (Sec-3),Electrical,L6,2026-04-14,2026-04-24,40.0,m,,OIL-A2-ELE-L6-0170
OIL-A2-ELE-L6-0172,OIL Project > Crude Gathering Station > Sec-4 > Electrical,Install Cable Tray (Sec-4),Electrical,L5,2026-06-01,2026-06-07,40.0,m,,OIL-A2-ELE-L6-0171
OIL-A2-ELE-L6-0173,OIL Project > Crude Gathering Station > North Bay > Electrical,Install Cable Tray (North Bay),Electrical,L6,2026-05-04,2026-05-07,60.0,m,,OIL-A2-ELE-L6-0172
OIL-A2-ELE-L6-0174,OIL Project > Crude Gathering Station > South Bay > Electrical,Install Cable Tray (South Bay),Electrical,L6,2026-07-08,2026-07-26,60.0,m,,OIL-A2-ELE-L6-0173
OIL-A2-ELE-L6-0175,OIL Project > Crude Gathering Station > Sec-1 > Electrical,Install Transformer T-2575 (Sec-1),Electrical,L5,2026-07-08,2026-07-14,60.0,m,equipment:T-2575,OIL-A2-ELE-L6-0174
OIL-A2-ELE-L6-0176,OIL Project > Crude Gathering Station > Sec-2 > Electrical,Install Transformer K-2576B (Sec-2),Electrical,L6,2026-06-13,2026-06-25,40.0,m,equipment:K-2576B,OIL-A2-ELE-L6-0175
OIL-A2-ELE-L6-0177,OIL Project > Crude Gathering Station > Sec-3 > Electrical,Install Transformer K-2577 (Sec-3),Electrical,L6,2026-04-01,2026-04-15,80.0,m,equipment:K-2577,OIL-A2-ELE-L6-0176
OIL-A2-ELE-L6-0178,OIL Project > Crude Gathering Station > Sec-4 > Electrical,Install Transformer V-2578A (Sec-4),Electrical,L5,2026-07-16,2026-07-27,120.0,m,equipment:V-2578A,OIL-A2-ELE-L6-0177
OIL-A2-ELE-L6-0179,OIL Project > Crude Gathering Station > North Bay > Electrical,Install Transformer V-2579B (North Bay),Electrical,L6,2026-04-22,2026-04-28,20.0,m,equipment:V-2579B,OIL-A2-ELE-L6-0178
OIL-A2-ELE-L6-0180,OIL Project > Crude Gathering Station > South Bay > Electrical,Install Transformer E-2580A (South Bay),Electrical,L6,2026-05-21,2026-05-26,80.0,m,equipment:E-2580A,OIL-A2-ELE-L6-0179
OIL-A2-INS-L6-0181,OIL Project > Crude Gathering Station > Sec-1 > Instrumentation,Install Instrument Loop LP-IN-0881 (Sec-1),Instrumentation,L5,2026-06-09,2026-06-17,2.0,nos,loop:LP-IN-0881,
OIL-A2-INS-L6-0182,OIL Project > Crude Gathering Station > Sec-2 > Instrumentation,Install Instrument Loop LP-IN-0882 (Sec-2),Instrumentation,L6,2026-06-22,2026-06-26,2.0,nos,loop:LP-IN-0882,OIL-A2-INS-L6-0181
OIL-A2-INS-L6-0183,OIL Project > Crude Gathering Station > Sec-3 > Instrumentation,Install Instrument Loop LP-IN-0883 (Sec-3),Instrumentation,L6,2026-07-04,2026-07-17,1.0,nos,loop:LP-IN-0883,OIL-A2-INS-L6-0182
OIL-A2-INS-L6-0184,OIL Project > Crude Gathering Station > Sec-4 > Instrumentation,Install Instrument Loop LP-IN-0884 (Sec-4),Instrumentation,L5,2026-05-13,2026-05-30,4.0,nos,loop:LP-IN-0884,OIL-A2-INS-L6-0183
OIL-A2-INS-L6-0185,OIL Project > Crude Gathering Station > North Bay > Instrumentation,Install Instrument Loop LP-IN-0885 (North Bay),Instrumentation,L6,2026-07-02,2026-07-09,1.0,nos,loop:LP-IN-0885,OIL-A2-INS-L6-0184
OIL-A2-INS-L6-0186,OIL Project > Crude Gathering Station > South Bay > Instrumentation,Install Instrument Loop LP-IN-0886 (South Bay),Instrumentation,L6,2026-05-04,2026-05-10,1.0,nos,loop:LP-IN-0886,OIL-A2-INS-L6-0185
OIL-A2-INS-L6-0187,OIL Project > Crude Gathering Station > Sec-1 > Instrumentation,Loop Check LP-IN-0887 (Sec-1),Instrumentation,L5,2026-07-03,2026-07-15,2.0,nos,loop:LP-IN-0887,OIL-A2-INS-L6-0186
OIL-A2-INS-L6-0188,OIL Project > Crude Gathering Station > Sec-2 > Instrumentation,Loop Check LP-IN-0888 (Sec-2),Instrumentation,L6,2026-04-27,2026-05-12,2.0,nos,loop:LP-IN-0888,OIL-A2-INS-L6-0187
OIL-A2-INS-L6-0189,OIL Project > Crude Gathering Station > Sec-3 > Instrumentation,Loop Check LP-IN-0889 (Sec-3),Instrumentation,L6,2026-06-20,2026-07-02,2.0,nos,loop:LP-IN-0889,OIL-A2-INS-L6-0188
OIL-A2-INS-L6-0190,OIL Project > Crude Gathering Station > Sec-4 > Instrumentation,Loop Check LP-IN-0890 (Sec-4),Instrumentation,L5,2026-07-04,2026-07-14,2.0,nos,loop:LP-IN-0890,OIL-A2-INS-L6-0189
OIL-A2-INS-L6-0191,OIL Project > Crude Gathering Station > North Bay > Instrumentation,Loop Check LP-IN-0891 (North Bay),Instrumentation,L6,2026-06-26,2026-07-04,4.0,nos,loop:LP-IN-0891,OIL-A2-INS-L6-0190
OIL-A2-INS-L6-0192,OIL Project > Crude Gathering Station > South Bay > Instrumentation,Loop Check LP-IN-0892 (South Bay),Instrumentation,L6,2026-05-24,2026-06-03,2.0,nos,loop:LP-IN-0892,OIL-A2-INS-L6-0191
OIL-A2-INS-L6-0193,OIL Project > Crude Gathering Station > Sec-1 > Instrumentation,Install Impulse Tubing LP-IN-0893 (Sec-1),Instrumentation,L5,2026-06-19,2026-07-05,4.0,nos,loop:LP-IN-0893,OIL-A2-INS-L6-0192
OIL-A2-INS-L6-0194,OIL Project > Crude Gathering Station > Sec-2 > Instrumentation,Install Impulse Tubing LP-IN-0894 (Sec-2),Instrumentation,L6,2026-04-05,2026-04-16,4.0,nos,loop:LP-IN-0894,OIL-A2-INS-L6-0193
OIL-A2-INS-L6-0195,OIL Project > Crude Gathering Station > Sec-3 > Instrumentation,Install Impulse Tubing LP-IN-0895 (Sec-3),Instrumentation,L6,2026-07-18,2026-08-04,4.0,nos,loop:LP-IN-0895,OIL-A2-INS-L6-0194
OIL-A2-INS-L6-0196,OIL Project > Crude Gathering Station > Sec-4 > Instrumentation,Install Impulse Tubing LP-IN-0896 (Sec-4),Instrumentation,L5,2026-05-14,2026-05-30,4.0,nos,loop:LP-IN-0896,OIL-A2-INS-L6-0195
OIL-A2-INS-L6-0197,OIL Project > Crude Gathering Station > North Bay > Instrumentation,Install Impulse Tubing LP-IN-0897 (North Bay),Instrumentation,L6,2026-07-03,2026-07-17,4.0,nos,loop:LP-IN-0897,OIL-A2-INS-L6-0196
OIL-A2-INS-L6-0198,OIL Project > Crude Gathering Station > South Bay > Instrumentation,Install Impulse Tubing LP-IN-0898 (South Bay),Instrumentation,L6,2026-04-02,2026-04-07,2.0,nos,loop:LP-IN-0898,OIL-A2-INS-L6-0197
OIL-A2-STA-L6-0199,OIL Project > Crude Gathering Station > Sec-1 > Static Equipment,Erect Vessel K-2599A (Sec-1),Static Equipment,L5,2026-05-09,2026-05-24,4.0,nos,equipment:K-2599A,
OIL-A2-STA-L6-0200,OIL Project > Crude Gathering Station > Sec-2 > Static Equipment,Erect Vessel T-2600 (Sec-2),Static Equipment,L6,2026-07-09,2026-07-14,4.0,nos,equipment:T-2600,OIL-A2-STA-L6-0199
OIL-A2-STA-L6-0201,OIL Project > Crude Gathering Station > Sec-3 > Static Equipment,Erect Vessel K-2601B (Sec-3),Static Equipment,L6,2026-05-16,2026-06-01,2.0,nos,equipment:K-2601B,OIL-A2-STA-L6-0200
OIL-A2-STA-L6-0202,OIL Project > Crude Gathering Station > Sec-4 > Static Equipment,Erect Vessel T-2602A (Sec-4),Static Equipment,L5,2026-06-30,2026-07-15,4.0,nos,equipment:T-2602A,OIL-A2-STA-L6-0201
OIL-A2-STA-L6-0203,OIL Project > Crude Gathering Station > North Bay > Static Equipment,Erect Vessel V-2603A (North Bay),Static Equipment,L6,2026-05-16,2026-05-26,4.0,nos,equipment:V-2603A,OIL-A2-STA-L6-0202
OIL-A2-STA-L6-0204,OIL Project > Crude Gathering Station > South Bay > Static Equipment,Erect Vessel T-2604A (South Bay),Static Equipment,L6,2026-06-21,2026-06-26,4.0,nos,equipment:T-2604A,OIL-A2-STA-L6-0203
OIL-A2-STA-L6-0205,OIL Project > Crude Gathering Station > Sec-1 > Static Equipment,Grout Vessel E-2605A (Sec-1),Static Equipment,L5,2026-07-15,2026-07-28,1.0,nos,equipment:E-2605A,OIL-A2-STA-L6-0204
OIL-A2-STA-L6-0206,OIL Project > Crude Gathering Station > Sec-2 > Static Equipment,Grout Vessel K-2606 (Sec-2),Static Equipment,L6,2026-04-10,2026-04-22,2.0,nos,equipment:K-2606,OIL-A2-STA-L6-0205
OIL-A2-STA-L6-0207,OIL Project > Crude Gathering Station > Sec-3 > Static Equipment,Grout Vessel K-2607 (Sec-3),Static Equipment,L6,2026-07-09,2026-07-26,2.0,nos,equipment:K-2607,OIL-A2-STA-L6-0206
OIL-A2-STA-L6-0208,OIL Project > Crude Gathering Station > Sec-4 > Static Equipment,Grout Vessel T-2608B (Sec-4),Static Equipment,L5,2026-06-28,2026-07-03,4.0,nos,equipment:T-2608B,OIL-A2-STA-L6-0207
OIL-A2-STA-L6-0209,OIL Project > Crude Gathering Station > North Bay > Static Equipment,Grout Vessel V-2609A (North Bay),Static Equipment,L6,2026-04-11,2026-04-28,4.0,nos,equipment:V-2609A,OIL-A2-STA-L6-0208
OIL-A2-STA-L6-0210,OIL Project > Crude Gathering Station > South Bay > Static Equipment,Grout Vessel E-2610A (South Bay),Static Equipment,L6,2026-05-31,2026-06-18,4.0,nos,equipment:E-2610A,OIL-A2-STA-L6-0209
OIL-A2-STA-L6-0211,OIL Project > Crude Gathering Station > Sec-1 > Static Equipment,Align Exchanger T-2611 (Sec-1),Static Equipment,L5,2026-06-03,2026-06-11,4.0,nos,equipment:T-2611,OIL-A2-STA-L6-0210
OIL-A2-STA-L6-0212,OIL Project > Crude Gathering Station > Sec-2 > Static Equipment,Align Exchanger V-2612A (Sec-2),Static Equipment,L6,2026-06-03,2026-06-15,2.0,nos,equipment:V-2612A,OIL-A2-STA-L6-0211
OIL-A2-STA-L6-0213,OIL Project > Crude Gathering Station > Sec-3 > Static Equipment,Align Exchanger T-2613B (Sec-3),Static Equipment,L6,2026-06-21,2026-07-05,4.0,nos,equipment:T-2613B,OIL-A2-STA-L6-0212
OIL-A2-STA-L6-0214,OIL Project > Crude Gathering Station > Sec-4 > Static Equipment,Align Exchanger K-2614 (Sec-4),Static Equipment,L5,2026-06-05,2026-06-23,2.0,nos,equipment:K-2614,OIL-A2-STA-L6-0213
OIL-A2-STA-L6-0215,OIL Project > Crude Gathering Station > North Bay > Static Equipment,Align Exchanger V-2615B (North Bay),Static Equipment,L6,2026-05-14,2026-05-20,4.0,nos,equipment:V-2615B,OIL-A2-STA-L6-0214
OIL-A2-STA-L6-0216,OIL Project > Crude Gathering Station > South Bay > Static Equipment,Align Exchanger T-2616B (South Bay),Static Equipment,L6,2026-05-07,2026-05-23,2.0,nos,equipment:T-2616B,OIL-A2-STA-L6-0215
OIL-A3-PIP-L6-0217,OIL Project > Utilities & Flare > Sec-1 > Piping,"Erect Line 16""-FG-1217 Spools (Sec-1)",Piping,L5,2026-05-16,2026-06-03,80.0,m,"line:16""-FG-1217",
OIL-A3-PIP-L6-0218,OIL Project > Utilities & Flare > Sec-2 > Piping,"Erect Line 12""-FG-1218 Spools (Sec-2)",Piping,L6,2026-07-11,2026-07-17,60.0,m,"line:12""-FG-1218",OIL-A3-PIP-L6-0217
OIL-A3-PIP-L6-0219,OIL Project > Utilities & Flare > Sec-3 > Piping,"Erect Line 8""-FG-1219 Spools (Sec-3)",Piping,L6,2026-07-10,2026-07-14,80.0,m,"line:8""-FG-1219",OIL-A3-PIP-L6-0218
OIL-A3-PIP-L6-0220,OIL Project > Utilities & Flare > Sec-4 > Piping,"Erect Line 24""-HC-1220 Spools (Sec-4)",Piping,L5,2026-05-09,2026-05-15,20.0,m,"line:24""-HC-1220",OIL-A3-PIP-L6-0219
OIL-A3-PIP-L6-0221,OIL Project > Utilities & Flare > North Bay > Piping,"Erect Line 6""-CW-1221 Spools (North Bay)",Piping,L6,2026-06-09,2026-06-24,120.0,m,"line:6""-CW-1221",OIL-A3-PIP-L6-0220
OIL-A3-PIP-L6-0222,OIL Project > Utilities & Flare > South Bay > Piping,"Erect Line 8""-PG-1222 Spools (South Bay)",Piping,L6,2026-04-13,2026-04-21,20.0,m,"line:8""-PG-1222",OIL-A3-PIP-L6-0221
OIL-A3-PIP-L6-0223,OIL Project > Utilities & Flare > Sec-1 > Piping,"Fabricate Spools for Line 16""-PG-1223 (Sec-1)",Piping,L5,2026-06-11,2026-06-22,60.0,m,"line:16""-PG-1223",OIL-A3-PIP-L6-0222
